Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-10,2.5,2.5,2.49,2.5,431111,0.0,0
2015-11-11,2.52,2.52,2.51,2.51,3170818,0.0,0
2015-11-12,2.52,2.54,2.52,2.52,5593008,0.0,0
2015-11-13,2.52,2.52,2.5,2.5,357554,0.0,0
2015-11-16,2.5,2.51,2.49,2.5,306416,0.0,0
2015-11-17,2.52,2.52,2.5,2.5,1140736,0.0,0
2015-11-18,2.52,2.52,2.5,2.5,536955,0.0,0
2015-11-19,2.5,2.5,2.46,2.49,347463,0.0,0
2015-11-20,2.48,2.5,2.47,2.47,320021,0.0,0
2015-11-23,2.49,2.49,2.47,2.49,117247,0.0,0
2015-11-24,2.49,2.49,2.47,2.47,309114,0.0,0
2015-11-25,2.48,2.5,2.48,2.48,523602,0.0525,0
2015-11-26,2.49,2.49,2.46,2.46,435014,0.0,0
2015-11-27,2.49,2.49,2.47,2.48,125118,0.0,0
2015-11-30,2.47,2.49,2.46,2.46,482910,0.0,0
2015-12-01,2.48,2.48,2.46,2.46,341803,0.0,0
2015-12-02,2.47,2.49,2.47,2.48,315245,0.0,0
2015-12-03,2.49,2.52,2.49,2.5,426874,0.0,0
2015-12-04,2.5,2.5,2.47,2.49,334330,0.0,0
2015-12-07,2.5,2.52,2.48,2.5,339802,0.0,0
2015-12-08,2.49,2.5,2.47,2.47,280898,0.0,0
2015-12-09,2.47,2.49,2.46,2.47,455461,0.0,0
2015-12-10,2.47,2.5,2.47,2.48,191153,0.0,0
2015-12-11,2.5,2.5,2.47,2.48,477707,0.0,0
2015-12-14,2.47,2.48,2.46,2.47,285493,0.0,0
2015-12-15,2.47,2.48,2.47,2.48,417910,0.0,0
2015-12-16,2.49,2.53,2.49,2.52,408925,0.0,0
2015-12-17,2.52,2.53,2.5,2.52,592599,0.0,0
2015-12-18,2.53,2.55,2.5,2.51,711359,0.0,0
2015-12-21,2.51,2.61,2.51,2.58,700567,0.0,0
2015-12-22,2.59,2.59,2.53,2.55,880011,0.0,0
2015-12-23,2.55,2.59,2.54,2.54,259622,0.0,0
2015-12-24,2.56,2.58,2.55,2.55,369384,0.0,0
2015-12-28,2.56,2.58,2.55,2.55,369384,0.0,0
2015-12-29,2.58,2.58,2.58,2.58,742590,0.0,0
2015-12-30,2.59,2.63,2.59,2.62,627959,0.0,0
2015-12-31,2.63,2.63,2.62,2.63,130054,0.0,0
2016-01-05,2.62,2.62,2.58,2.59,364296,0.0,0
2016-01-06,2.6,2.6,2.58,2.58,587904,0.0,0
2016-01-07,2.58,2.58,2.54,2.54,348074,0.0,0
2016-01-08,2.53,2.54,2.51,2.53,229172,0.0,0
2016-01-11,2.52,2.52,2.5,2.5,779080,0.0,0
2016-01-12,2.51,2.52,2.49,2.49,184605,0.0,0
2016-01-13,2.5,2.51,2.5,2.5,195878,0.0,0
2016-01-14,2.5,2.5,2.5,2.5,165147,0.0,0
2016-01-15,2.51,2.52,2.5,2.52,2358037,0.0,0
2016-01-18,2.51,2.51,2.5,2.51,139661,0.0,0
2016-01-19,2.51,2.52,2.5,2.52,370397,0.0,0
2016-01-20,2.52,2.53,2.5,2.53,5312308,0.0,0
2016-01-21,2.52,2.52,2.51,2.51,375288,0.0,0
2016-01-22,2.52,2.53,2.5,2.52,222797,0.0,0
2016-01-25,2.53,2.53,2.52,2.53,208090,0.0,0
2016-01-26,2.53,2.53,2.51,2.52,232887,0.0,0
2016-01-27,2.52,2.52,2.51,2.51,1293609,0.0,0
2016-01-28,2.51,2.52,2.51,2.52,168669,0.0,0
2016-01-29,2.5,2.51,2.48,2.49,3078607,0.0,0
2016-02-01,2.5,2.5,2.5,2.5,297322,0.0,0
2016-02-02,2.5,2.5,2.48,2.49,395700,0.0,0
2016-02-03,2.49,2.53,2.49,2.52,1171166,0.0,0
2016-02-04,2.52,2.52,2.5,2.51,79828,0.0,0
2016-02-05,2.51,2.51,2.49,2.51,384480,0.0,0
2016-02-09,2.5,2.51,2.48,2.5,209341,0.0,0
