Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-10,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-11,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-12,0.4595,0.4595,0.4507,0.4507,28132,0.0,0
2015-11-13,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-16,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-17,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-18,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-19,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-20,0.4595,0.4595,0.4507,0.4507,20000,0.0,0
2015-11-23,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-24,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-25,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-26,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-27,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-11-30,0.4772,0.4772,0.4684,0.4684,10000,0.0,0
2015-12-01,0.4684,0.4684,0.4684,0.4684,32247,0.0,0
2015-12-02,0.4507,0.4507,0.4507,0.4507,812988,0.0,0
2015-12-03,0.4507,0.4507,0.4507,0.4507,969500,0.0,0
2015-12-04,0.4684,0.4684,0.4684,0.4684,98289,0.0,0
2015-12-07,0.4595,0.4595,0.4595,0.4595,13500,0.0,0
2015-12-08,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-09,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-10,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-11,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-14,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-15,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-16,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-17,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-18,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-21,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-22,0.4772,0.4772,0.4772,0.4772,18000,0.0,0
2015-12-23,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-24,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-28,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-29,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2015-12-30,0.4949,0.4949,0.4949,0.4949,10000,0.0,0
2015-12-31,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2016-01-05,0.4772,0.4772,0.4772,0.4772,19126,0.0,0
2016-01-06,0.4595,0.4595,0.4595,0.4595,0,0.0,0
2016-01-07,0.4772,0.4772,0.4772,0.4772,20874,0.0,0
2016-01-08,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-11,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-12,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-13,0.486,0.486,0.486,0.486,11000,0.0,0
2016-01-14,0.486,0.486,0.486,0.486,9000,0.0,0
2016-01-15,0.486,0.486,0.486,0.486,0,0.0,0
2016-01-18,0.4772,0.4772,0.4772,0.4772,10000,0.0,0
2016-01-19,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-20,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-21,0.4772,0.4772,0.4772,0.4772,4000,0.0,0
2016-01-22,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-25,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-26,0.4772,0.486,0.4772,0.486,14909,0.0,0
2016-01-27,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-28,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-01-29,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-02-01,0.4772,0.4772,0.4772,0.4772,0,0.0,0
2016-02-02,0.4772,0.486,0.4772,0.486,20000,0.0,0
2016-02-03,0.468,0.468,0.459,0.459,1054909,0.01,0
2016-02-04,0.459,0.459,0.459,0.459,0,0.0,0
2016-02-05,0.459,0.459,0.459,0.459,0,0.0,0
2016-02-09,0.459,0.459,0.459,0.459,0,0.0,0
2016-02-10,0.459,0.459,0.459,0.459,0,0.0,0
2016-02-11,0.459,0.459,0.459,0.459,0,0.0,0
2016-02-12,0.495,0.495,0.486,0.486,3650,0.0,0
2016-02-15,0.486,0.486,0.486,0.486,0,0.0,0
2016-02-16,0.486,0.486,0.486,0.486,0,0.0,0
2016-02-17,0.486,0.486,0.486,0.486,0,0.0,0
2016-02-18,0.486,0.486,0.486,0.486,0,0.0,0
2016-02-19,0.459,0.459,0.459,0.459,12234,0.0,0
2016-02-22,0.468,0.468,0.45,0.45,12000,0.0,0
2016-02-23,0.45,0.45,0.45,0.45,0,0.0,0
2016-02-24,0.45,0.45,0.45,0.45,0,0.0,0
2016-02-25,0.45,0.45,0.45,0.45,0,0.0,0
2016-02-26,0.45,0.45,0.45,0.45,0,0.0,0
2016-02-29,0.45,0.45,0.45,0.45,0,0.0,0
2016-03-01,0.459,0.459,0.459,0.459,8203,0.0,0
2016-03-02,0.459,0.459,0.459,0.459,0,0.0,0
2016-03-03,0.486,0.486,0.486,0.486,36857,0.0,0
2016-03-04,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-07,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-08,0.468,0.468,0.468,0.468,5505,0.0,0
2016-03-09,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-10,0.468,0.468,0.468,0.468,2000,0.0,0
2016-03-11,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-14,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-15,0.486,0.486,0.486,0.486,0,0.0,0
2016-03-16,0.459,0.468,0.459,0.468,4500,0.0,0
2016-03-17,0.468,0.468,0.468,0.468,1200,0.0,0
2016-03-18,0.459,0.459,0.459,0.459,10000,0.0,0
2016-03-21,0.459,0.459,0.459,0.459,1354,0.0,0
2016-03-22,0.459,0.459,0.45,0.45,19247,0.0,0
2016-03-23,0.45,0.45,0.45,0.45,0,0.0,0
2016-03-24,0.45,0.45,0.45,0.45,0,0.0,0
2016-03-29,0.468,0.468,0.468,0.468,12719,0.0,0
2016-03-30,0.468,0.468,0.468,0.468,0,0.0,0
2016-03-31,0.468,0.468,0.468,0.468,0,0.0,0
2016-04-01,0.477,0.477,0.477,0.477,11000,0.0,0
2016-04-04,0.477,0.477,0.477,0.477,0,0.0,0
2016-04-05,0.477,0.477,0.477,0.477,0,0.0,0
2016-04-06,0.477,0.477,0.477,0.477,0,0.0,0
2016-04-07,0.477,0.477,0.477,0.477,10000,0.0,0
2016-04-08,0.477,0.477,0.477,0.477,0,0.0,0
2016-04-11,0.459,0.468,0.459,0.468,4000,0.0,0
2016-04-12,0.468,0.468,0.459,0.459,26600,0.0,0
2016-04-13,0.459,0.459,0.459,0.459,0,0.0,0
2016-04-14,0.459,0.459,0.459,0.459,0,0.0,0
2016-04-15,0.468,0.477,0.468,0.468,21031,0.0,0
2016-04-18,0.468,0.468,0.468,0.468,0,0.0,0
2016-04-19,0.468,0.468,0.468,0.468,0,0.0,0
2016-04-20,0.477,0.477,0.459,0.459,18889,0.0,0
2016-04-21,0.459,0.459,0.459,0.459,0,0.0,0
2016-04-22,0.468,0.468,0.468,0.468,12111,0.0,0
2016-04-26,0.477,0.477,0.477,0.477,10981,0.0,0
2016-04-27,0.468,0.468,0.468,0.468,9889,0.0,0
2016-04-28,0.468,0.468,0.468,0.468,0,0.0,0
2016-04-29,0.459,0.459,0.45,0.45,18800,0.0,0
2016-05-02,0.468,0.468,0.468,0.468,5111,0.0,0
2016-05-03,0.468,0.468,0.468,0.468,0,0.0,0
2016-05-04,0.477,0.477,0.477,0.477,32500,0.0,0
2016-05-05,0.468,0.468,0.468,0.468,650,0.0,0
2016-05-06,0.468,0.468,0.468,0.468,0,0.0,0
2016-05-09,0.477,0.477,0.477,0.477,31630,0.0,0
2016-05-10,0.477,0.477,0.477,0.477,0,0.0,0
2016-05-11,0.477,0.477,0.477,0.477,0,0.0,0
2016-05-12,0.477,0.477,0.477,0.477,0,0.0,0
2016-05-13,0.468,0.468,0.459,0.459,20000,0.0,0
2016-05-16,0.459,0.459,0.459,0.459,0,0.0,0
