Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-10,3.61,3.62,3.59,3.61,349930,0.0,0
2015-11-11,3.57,3.6,3.52,3.56,312966,0.0,0
2015-11-12,3.54,3.54,3.51,3.52,181818,0.0,0
2015-11-13,3.52,3.56,3.51,3.56,268335,0.0,0
2015-11-16,3.52,3.54,3.52,3.53,91405,0.0,0
2015-11-17,3.53,3.6,3.51,3.59,251913,0.0,0
2015-11-18,3.59,3.59,3.56,3.57,310861,0.0,0
2015-11-19,3.58,3.64,3.58,3.62,149858,0.0,0
2015-11-20,3.64,3.66,3.59,3.59,103626,0.0,0
2015-11-23,3.62,3.66,3.6,3.66,231027,0.0,0
2015-11-24,3.66,3.68,3.64,3.64,77403,0.0,0
2015-11-25,3.65,3.65,3.6,3.6,95370,0.0,0
2015-11-26,3.61,3.61,3.53,3.53,232781,0.0,0
2015-11-27,3.54,3.56,3.53,3.53,151593,0.0,0
2015-11-30,3.53,3.57,3.5,3.5,264843,0.0,0
2015-12-01,3.51,3.56,3.5,3.56,259574,0.0,0
2015-12-02,3.57,3.62,3.57,3.6,116065,0.0,0
2015-12-03,3.6,3.61,3.6,3.6,207698,0.0,0
2015-12-04,3.6,3.61,3.54,3.57,402834,0.0,0
2015-12-07,3.59,3.64,3.57,3.62,78412,0.0,0
2015-12-08,3.62,3.63,3.58,3.58,141686,0.0,0
2015-12-09,3.61,3.65,3.61,3.61,139239,0.0,0
2015-12-10,3.61,3.62,3.61,3.62,46571,0.0,0
2015-12-11,3.65,3.65,3.61,3.63,67687,0.0,0
2015-12-14,3.62,3.64,3.61,3.62,75030,0.0,0
2015-12-15,3.62,3.66,3.61,3.65,77240,0.0,0
2015-12-16,3.66,3.7,3.66,3.68,192371,0.0,0
2015-12-17,3.68,3.7,3.62,3.7,197445,0.0,0
2015-12-18,3.7,3.75,3.66,3.71,328007,0.0,0
2015-12-21,3.66,3.7,3.64,3.69,248228,0.0,0
2015-12-22,3.69,3.71,3.66,3.68,108928,0.0,0
2015-12-23,3.67,3.69,3.66,3.67,45970,0.0,0
2015-12-24,3.67,3.69,3.66,3.69,69970,0.0,0
2015-12-28,3.67,3.69,3.66,3.69,69970,0.0,0
2015-12-29,3.68,3.71,3.64,3.71,32854,0.0,0
2015-12-30,3.69,3.71,3.66,3.66,63617,0.0,0
2015-12-31,3.66,3.73,3.66,3.73,95515,0.0,0
2016-01-05,3.73,3.73,3.67,3.67,93469,0.0,0
2016-01-06,3.68,3.73,3.67,3.7,106870,0.0,0
2016-01-07,3.7,3.73,3.65,3.65,213001,0.0,0
2016-01-08,3.64,3.68,3.63,3.63,85034,0.0,0
2016-01-11,3.63,3.63,3.61,3.61,63706,0.0,0
2016-01-12,3.62,3.68,3.59,3.59,48212,0.0,0
2016-01-13,3.58,3.63,3.58,3.59,314326,0.0,0
2016-01-14,3.59,3.59,3.57,3.58,380990,0.0,0
2016-01-15,3.58,3.65,3.57,3.62,119166,0.0,0
2016-01-18,3.59,3.68,3.57,3.64,256421,0.0,0
2016-01-19,3.66,3.7,3.62,3.7,146799,0.0,0
2016-01-20,3.7,3.75,3.7,3.73,197972,0.0,0
2016-01-21,3.73,3.74,3.66,3.73,250067,0.0,0
2016-01-22,3.71,3.71,3.66,3.66,127651,0.0,0
2016-01-25,3.66,3.68,3.63,3.68,74090,0.0,0
2016-01-26,3.66,3.67,3.62,3.62,134975,0.0,0
2016-01-27,3.63,3.66,3.6,3.61,70645,0.0,0
2016-01-28,3.61,3.63,3.58,3.62,178210,0.0,0
2016-01-29,3.63,3.63,3.62,3.63,284673,0.0,0
2016-02-01,3.62,3.66,3.62,3.66,46208,0.0,0
2016-02-02,3.66,3.75,3.62,3.75,228555,0.0,0
2016-02-03,3.73,3.73,3.66,3.66,288821,0.0,0
2016-02-04,3.67,3.71,3.66,3.68,66835,0.0,0
2016-02-05,3.66,3.73,3.66,3.67,157344,0.0,0
2016-02-09,3.62,3.63,3.61,3.62,140567,0.0,0
2016-02-10,3.61,3.62,3.58,3.58,286606,0.0,0
2016-02-11,3.58,3.66,3.58,3.62,417735,0.0,0
2016-02-12,3.62,3.62,3.48,3.52,100899,0.0,0
2016-02-15,3.58,3.62,3.55,3.55,210518,0.0,0
2016-02-16,3.55,3.66,3.55,3.66,1588504,0.0,0
2016-02-17,3.66,3.66,3.62,3.62,83164,0.0,0
2016-02-18,3.65,3.7,3.62,3.67,74248,0.0,0
2016-02-19,3.66,3.66,3.63,3.63,68039,0.0,0
2016-02-22,3.62,3.62,3.6,3.6,137887,0.0,0
2016-02-23,3.58,3.62,3.58,3.62,79267,0.0,0
2016-02-24,3.65,3.69,3.62,3.65,459260,0.0,0
2016-02-25,3.65,3.65,3.62,3.63,438238,0.0,0
2016-02-26,3.64,3.64,3.58,3.6,267115,0.0,0
2016-02-29,3.61,3.62,3.59,3.59,234722,0.0,0
2016-03-01,3.61,3.61,3.58,3.59,202892,0.0,0
2016-03-02,3.59,3.61,3.58,3.59,386482,0.0,0
2016-03-03,3.58,3.6,3.58,3.59,204921,0.0,0
2016-03-04,3.63,3.64,3.62,3.63,191084,0.0,0
2016-03-07,3.64,3.68,3.64,3.68,313857,0.0,0
2016-03-08,3.69,3.78,3.69,3.77,489855,0.034,0
2016-03-09,3.76,3.83,3.75,3.83,546222,0.0,0
2016-03-10,3.85,3.92,3.85,3.92,255665,0.0,0
2016-03-11,3.93,3.96,3.91,3.95,540594,0.0,0
2016-03-14,3.95,4.08,3.94,4.02,399823,0.0,0
2016-03-15,4.02,4.08,4.02,4.04,666567,0.0,0
2016-03-16,4.03,4.03,4.0,4.02,959533,0.0,0
2016-03-17,4.02,4.03,4.0,4.03,326322,0.0,0
2016-03-18,4.02,4.06,4.02,4.06,488440,0.0,0
2016-03-21,4.07,4.08,4.04,4.05,472068,0.0,0
2016-03-22,4.05,4.1,4.03,4.1,221881,0.0,0
2016-03-23,4.1,4.14,4.06,4.12,589955,0.0,0
2016-03-24,4.13,4.14,4.06,4.06,525606,0.0,0
2016-03-29,4.06,4.06,4.03,4.03,241066,0.0,0
2016-03-30,4.04,4.06,4.04,4.04,276384,0.0,0
2016-03-31,4.04,4.1,4.04,4.09,253730,0.0,0
2016-04-01,4.08,4.08,4.04,4.04,317541,0.0,0
2016-04-04,4.04,4.06,3.98,4.04,337209,0.0,0
2016-04-05,4.04,4.04,3.98,4.0,338428,0.0,0
2016-04-06,3.95,3.95,3.88,3.91,781770,0.0,0
2016-04-07,3.91,3.95,3.91,3.91,568110,0.0,0
2016-04-08,3.93,4.01,3.92,3.92,270010,0.0,0
2016-04-11,3.93,3.99,3.93,3.99,276229,0.0,0
2016-04-12,3.97,4.0,3.97,4.0,356322,0.0,0
2016-04-13,4.01,4.02,3.99,4.02,400927,0.0,0
2016-04-14,4.02,4.11,4.01,4.1,165216,0.0,0
2016-04-15,4.1,4.11,4.09,4.1,393960,0.0,0
2016-04-18,4.1,4.12,4.09,4.1,330192,0.0,0
2016-04-19,4.12,4.14,4.07,4.13,130328,0.0,0
2016-04-20,4.13,4.34,4.13,4.22,411327,0.0,0
2016-04-21,4.2,4.34,4.2,4.32,315587,0.0,0
2016-04-22,4.32,4.34,4.27,4.31,198158,0.0,0
2016-04-26,4.29,4.31,4.26,4.29,179783,0.0,0
2016-04-27,4.27,4.29,4.16,4.16,205305,0.0,0
2016-04-28,4.17,4.19,4.14,4.15,282526,0.0,0
2016-04-29,4.14,4.14,4.1,4.1,406312,0.0,0
2016-05-02,4.06,4.06,4.02,4.02,250454,0.0,0
2016-05-03,4.03,4.09,4.03,4.08,364667,0.0,0
2016-05-04,4.09,4.09,4.01,4.01,451791,0.0,0
2016-05-05,4.01,4.02,3.99,4.02,462762,0.0,0
2016-05-06,4.02,4.12,4.02,4.09,216937,0.0,0
2016-05-09,4.11,4.13,4.06,4.06,232231,0.0,0
2016-05-10,4.06,4.2,4.06,4.11,177209,0.0,0
2016-05-11,4.11,4.11,4.05,4.05,298276,0.0,0
2016-05-12,4.04,4.12,4.04,4.12,584371,0.0,0
2016-05-13,4.11,4.17,4.07,4.12,124571,0.0,0
2016-05-16,4.1,4.2,4.1,4.17,107658,0.0,0
2016-05-17,4.17,4.25,4.17,4.24,301902,0.0,0
2016-05-18,4.24,4.25,4.22,4.25,267649,0.0,0
2016-05-19,4.25,4.38,4.24,4.33,271797,0.0,0
2016-05-20,4.34,4.36,4.25,4.32,247637,0.0,0
2016-05-23,4.32,4.32,4.29,4.31,185896,0.0,0
2016-05-24,4.31,4.31,4.24,4.26,134109,0.0,0
2016-05-25,4.27,4.33,4.27,4.31,219892,0.0,0
2016-05-26,4.31,4.34,4.28,4.3,123104,0.0,0
2016-05-27,4.3,4.34,4.29,4.3,311133,0.0,0
