Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-10,3.46,3.46,3.46,3.46,0,0.0,0
2015-11-11,3.47,3.47,3.47,3.47,0,0.0,0
2015-11-12,3.52,3.52,3.45,3.45,524534,0.0,0
2015-11-13,3.38,3.38,3.38,3.38,0,0.0,0
2015-11-16,3.4,3.4,3.4,3.4,0,0.0,0
2015-11-17,3.47,3.5,3.45,3.5,476101,0.0,0
2015-11-18,3.46,3.51,3.46,3.5,247951,0.0,0
2015-11-19,3.49,3.49,3.49,3.49,0,0.0,0
2015-11-20,3.5,3.5,3.5,3.5,0,0.0,0
2015-11-23,3.48,3.48,3.48,3.48,0,0.0,0
2015-11-24,3.47,3.47,3.47,3.47,0,0.0,0
2015-11-25,3.49,3.49,3.49,3.49,0,0.0,0
2015-11-26,3.52,3.52,3.52,3.52,0,0.0,0
2015-11-27,3.51,3.51,3.51,3.51,0,0.0,0
2015-11-30,3.52,3.52,3.52,3.52,0,0.0,0
2015-12-01,3.54,3.54,3.54,3.54,0,0.0,0
2015-12-02,3.56,3.56,3.56,3.56,0,0.0,0
2015-12-03,3.48,3.48,3.48,3.48,0,0.0,0
2015-12-04,3.47,3.47,3.47,3.47,0,0.0,0
2015-12-07,3.48,3.48,3.48,3.48,0,0.0,0
2015-12-08,3.45,3.45,3.45,3.45,0,0.0,0
2015-12-09,3.43,3.43,3.43,3.43,0,0.0,0
2015-12-10,3.41,3.41,3.41,3.41,0,0.0,0
2015-12-11,3.45,3.47,3.4,3.4,557762,0.0,0
2015-12-14,3.3,3.3,3.3,3.3,0,0.0,0
2015-12-15,3.39,3.39,3.39,3.39,0,0.0,0
2015-12-16,3.42,3.42,3.42,3.42,0,0.0,0
2015-12-17,3.43,3.43,3.43,3.43,0,0.0,0
2015-12-18,3.4,3.4,3.4,3.4,0,0.0,0
2015-12-21,3.39,3.39,3.39,3.39,0,0.0,0
2015-12-22,3.42,3.42,3.42,3.42,0,0.0,0
2015-12-23,3.5,3.5,3.5,3.5,0,0.0,0
2015-12-24,3.54,3.55,3.54,3.55,79418,0.0,0
2015-12-29,3.53,3.53,3.53,3.53,0,0.0,0
2015-12-30,3.56,3.57,3.53,3.56,250437,0.0,0
2015-12-31,3.49,3.49,3.49,3.49,0,0.0,0
2016-01-05,3.44,3.44,3.44,3.44,0,0.0,0
2016-01-06,3.4,3.4,3.4,3.4,0,0.0,0
2016-01-07,3.34,3.34,3.34,3.34,0,0.0,0
2016-01-08,3.32,3.32,3.32,3.32,0,0.0,0
2016-01-11,3.31,3.31,3.31,3.31,0,0.0,0
2016-01-12,3.35,3.35,3.35,3.35,0,0.0,0
2016-01-13,3.36,3.36,3.36,3.36,0,0.0,0
2016-01-14,3.33,3.33,3.33,3.33,0,0.0,0
2016-01-15,3.25,3.25,3.25,3.25,0,0.0,0
